order_id,order_date,quantity,unit_price,revenue,status,product_category,product_code,customer_name,country,territory,deal_size,quarter,month,year
10107,2003-02-24,30,95.7,2871.0,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,USA,Unknown,Small,1,2,2003
10121,2003-05-07,34,81.35,2765.9,Shipped,Motorcycles,S10_1678,Reims Collectables,France,EMEA,Small,2,5,2003
10134,2003-07-01,41,94.74,3884.34,Shipped,Motorcycles,S10_1678,Lyon Souveniers,France,EMEA,Medium,3,7,2003
10145,2003-08-25,45,83.26,3746.7,Shipped,Motorcycles,S10_1678,Toys4GrownUps.com,USA,Unknown,Medium,3,8,2003
10159,2003-10-10,49,100.0,5205.27,Shipped,Motorcycles,S10_1678,Corporate Gift Ideas Co.,USA,Unknown,Medium,4,10,2003
10168,2003-10-28,36,96.66,3479.76,Shipped,Motorcycles,S10_1678,Technics Stores Inc.,USA,Unknown,Medium,4,10,2003
10180,2003-11-11,29,86.13,2497.77,Shipped,Motorcycles,S10_1678,Daedalus Designs Imports,France,EMEA,Small,4,11,2003
10188,2003-11-18,48,100.0,5512.32,Shipped,Motorcycles,S10_1678,Herkku Gifts,Norway,EMEA,Medium,4,11,2003
10201,2003-12-01,22,98.57,2168.54,Shipped,Motorcycles,S10_1678,Mini Wheels Co.,USA,Unknown,Small,4,12,2003
10211,2004-01-15,41,100.0,4708.44,Shipped,Motorcycles,S10_1678,Auto Canal Petit,France,EMEA,Medium,1,1,2004
10223,2004-02-20,37,100.0,3965.66,Shipped,Motorcycles,S10_1678,"Australian Collectors, Co.",Australia,APAC,Medium,1,2,2004
10237,2004-04-05,23,100.0,2333.12,Shipped,Motorcycles,S10_1678,Vitachrome Inc.,USA,Unknown,Small,2,4,2004
10251,2004-05-18,28,100.0,3188.64,Shipped,Motorcycles,S10_1678,Tekni Collectables Inc.,USA,Unknown,Medium,2,5,2004
10263,2004-06-28,34,100.0,3676.76,Shipped,Motorcycles,S10_1678,Gift Depot Inc.,USA,Unknown,Medium,2,6,2004
10275,2004-07-23,45,92.83,4177.35,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,France,EMEA,Medium,3,7,2004
10285,2004-08-27,36,100.0,4099.68,Shipped,Motorcycles,S10_1678,Marta's Replicas Co.,USA,Unknown,Medium,3,8,2004
10299,2004-09-30,23,100.0,2597.39,Shipped,Motorcycles,S10_1678,"Toys of Finland, Co.",Finland,EMEA,Small,3,9,2004
10309,2004-10-15,41,100.0,4394.38,Shipped,Motorcycles,S10_1678,Baane Mini Imports,Norway,EMEA,Medium,4,10,2004
10318,2004-11-02,46,94.74,4358.04,Shipped,Motorcycles,S10_1678,Diecast Classics Inc.,USA,Unknown,Medium,4,11,2004
10329,2004-11-15,42,100.0,4396.14,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,USA,Unknown,Medium,4,11,2004
10341,2004-11-24,41,100.0,7737.93,Shipped,Motorcycles,S10_1678,Salzburg Collectables,Austria,EMEA,Large,4,11,2004
10361,2004-12-17,20,72.55,1451.0,Shipped,Motorcycles,S10_1678,Souveniers And Things Co.,Australia,APAC,Small,4,12,2004
10375,2005-02-03,21,34.91,733.11,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,France,EMEA,Small,1,2,2005
10388,2005-03-03,42,76.36,3207.12,Shipped,Motorcycles,S10_1678,FunGiftIdeas.com,USA,Unknown,Medium,1,3,2005
10403,2005-04-08,24,100.0,2434.56,Shipped,Motorcycles,S10_1678,"UK Collectables, Ltd.",UK,EMEA,Small,2,4,2005
10417,2005-05-13,66,100.0,7516.08,Disputed,Motorcycles,S10_1678,Euro Shopping Channel,Spain,EMEA,Large,2,5,2005
10103,2003-01-29,26,100.0,5404.62,Shipped,Classic Cars,S10_1949,Baane Mini Imports,Norway,EMEA,Medium,1,1,2003
10112,2003-03-24,29,100.0,7209.11,Shipped,Classic Cars,S10_1949,"Volvo Model Replicas, Co",Sweden,EMEA,Large,1,3,2003
10126,2003-05-28,38,100.0,7329.06,Shipped,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd",Spain,EMEA,Large,2,5,2003
10140,2003-07-24,37,100.0,7374.1,Shipped,Classic Cars,S10_1949,Technics Stores Inc.,USA,Unknown,Large,3,7,2003
10150,2003-09-19,45,100.0,10993.5,Shipped,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Japan,Large,3,9,2003
10163,2003-10-20,21,100.0,4860.24,Shipped,Classic Cars,S10_1949,Classic Legends Inc.,USA,Unknown,Medium,4,10,2003
10174,2003-11-06,34,100.0,8014.82,Shipped,Classic Cars,S10_1949,"Australian Gift Network, Co",Australia,APAC,Large,4,11,2003
10183,2003-11-13,23,100.0,5372.57,Shipped,Classic Cars,S10_1949,"Classic Gift Ideas, Inc",USA,Unknown,Medium,4,11,2003
10194,2003-11-25,42,100.0,7290.36,Shipped,Classic Cars,S10_1949,"Saveley & Henriot, Co.",France,EMEA,Large,4,11,2003
10206,2003-12-05,47,100.0,9064.89,Shipped,Classic Cars,S10_1949,Canadian Gift Exchange Network,Canada,Unknown,Large,4,12,2003
10215,2004-01-29,35,100.0,6075.3,Shipped,Classic Cars,S10_1949,West Coast Collectables Co.,USA,Unknown,Medium,1,1,2004
10228,2004-03-10,29,100.0,6463.23,Shipped,Classic Cars,S10_1949,Cambridge Collectables Co.,USA,Unknown,Medium,1,3,2004
10245,2004-05-04,34,100.0,6120.34,Shipped,Classic Cars,S10_1949,Super Scale Inc.,USA,Unknown,Medium,2,5,2004
10258,2004-06-15,32,100.0,7680.64,Shipped,Classic Cars,S10_1949,"Tokyo Collectables, Ltd",Japan,Japan,Large,2,6,2004
10270,2004-07-19,21,100.0,4905.39,Shipped,Classic Cars,S10_1949,Souveniers And Things Co.,Australia,APAC,Medium,3,7,2004
10280,2004-08-17,34,100.0,8014.82,Shipped,Classic Cars,S10_1949,Amica Models & Co.,Italy,EMEA,Large,3,8,2004
10291,2004-09-08,37,100.0,7136.19,Shipped,Classic Cars,S10_1949,Scandinavian Gift Ideas,Sweden,EMEA,Large,3,9,2004
10304,2004-10-11,47,100.0,10172.7,Shipped,Classic Cars,S10_1949,Auto Assoc. & Cie.,France,EMEA,Large,4,10,2004
10312,2004-10-21,48,100.0,11623.7,Shipped,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,USA,Unknown,Large,4,10,2004
10322,2004-11-04,40,100.0,6000.4,Shipped,Classic Cars,S10_1949,Online Diecast Creations Co.,USA,Unknown,Medium,4,11,2004
10333,2004-11-18,26,100.0,3003.0,Shipped,Classic Cars,S10_1949,Mini Wheels Co.,USA,Unknown,Medium,4,11,2004
10347,2004-11-29,30,100.0,3944.7,Shipped,Classic Cars,S10_1949,"Australian Collectors, Co.",Australia,APAC,Medium,4,11,2004
10357,2004-12-10,32,100.0,5691.84,Shipped,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,USA,Unknown,Medium,4,12,2004
10369,2005-01-20,41,100.0,4514.92,Shipped,Classic Cars,S10_1949,Collectables For Less Inc.,USA,Unknown,Medium,1,1,2005
10381,2005-02-17,36,100.0,8254.8,Shipped,Classic Cars,S10_1949,Corporate Gift Ideas Co.,USA,Unknown,Large,1,2,2005
10391,2005-03-09,24,100.0,2416.56,Shipped,Classic Cars,S10_1949,"Anna's Decorations, Ltd",Australia,APAC,Small,1,3,2005
10411,2005-05-01,23,100.0,4140.23,Shipped,Classic Cars,S10_1949,Quebec Home Shopping Network,Canada,Unknown,Medium,2,5,2005
10424,2005-05-31,50,100.0,12001.0,In Process,Classic Cars,S10_1949,Euro Shopping Channel,Spain,EMEA,Large,2,5,2005
10107,2003-02-24,39,99.91,3896.49,Shipped,Motorcycles,S10_2016,Land of Toys Inc.,USA,Unknown,Medium,1,2,2003
10120,2003-04-29,29,96.34,2793.86,Shipped,Motorcycles,S10_2016,"Australian Collectors, Co.",Australia,APAC,Small,2,4,2003
10134,2003-07-01,27,100.0,3307.77,Shipped,Motorcycles,S10_2016,Lyon Souveniers,France,EMEA,Medium,3,7,2003
